method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
dwp,100,104.20607495307922,179813.0854336553,27.85263391555054,best_certified_dual,,,179852.12606131687,-35.16082056936057,390
dwp,101,105.94133424758911,179813.0854336553,27.85263391555054,best_certified_dual,,,179850.55134396005,-58.433794785016175,393
dwp,102,107.6834921836853,179813.0854336553,27.85263391555054,best_certified_dual,,,179848.59926968935,-48.797315358113224,396
dwp,103,109.47192645072937,179813.0854336553,27.85263391555054,best_certified_dual,,,179847.74812667165,-58.23739153522047,398
dwp,104,111.25906872749329,179813.0854336553,27.85263391555054,best_certified_dual,,,179847.14679466296,-35.80739819718178,400
dwp,105,113.02306175231934,179824.29949698897,16.63857058188296,best_certified_dual,,,179846.9551923627,-19.98662433542131,402
dwp,106,114.82943916320801,179824.29949698897,16.63857058188296,best_certified_dual,,,179845.70876684054,-75.13574832617292,403
dwp,107,116.640784740448,179824.29949698897,16.63857058188296,best_certified_dual,,,179845.7087668406,-75.13574832616928,404
dwp,108,118.43946480751038,179824.29949698897,16.63857058188296,best_certified_dual,,,179844.15107893958,-37.85378931176797,406
dwp,109,120.22961139678955,179824.29949698897,16.63857058188296,best_certified_dual,,,179843.74306777367,-44.89736842105981,407
dwp,110,122.05145573616028,179824.29949698897,16.63857058188296,best_certified_dual,,,179843.74306777364,-44.89736842104844,408
dwp,111,123.87542009353638,179824.29949698897,16.63857058188296,best_certified_dual,,,179843.6741621386,-31.772950819695097,409
dwp,112,125.70232152938843,179824.29949698897,16.63857058188296,best_certified_dual,,,179843.67416213852,-31.772950819686912,410
dwp,113,127.52419066429138,179824.30797461263,16.630092958221212,best_certified_dual,,,179843.56495080312,-19.256976190481737,411
dwp,114,129.36515188217163,179825.9473475725,14.990719998342684,best_certified_dual,,,179843.4973475725,-17.549999999994156,412
dwp,115,131.2082073688507,179834.5620549087,6.376012662163703,best_certified_dual,,,179843.33705490868,-8.775000000007822,413
dwp,116,133.048024892807,179834.5620549087,6.376012662163703,best_certified_dual,,,179842.40223303187,-47.65416666668966,414
dwp,117,134.89235377311707,179834.5620549087,6.376012662163703,best_certified_dual,,,179841.84009457857,-20.93464216095981,415
dwp,118,136.75176882743835,179834.5620549087,6.376012662163703,best_certified_dual,,,179841.03184260096,-17.343346560837972,416
dwp,119,138.6194396018982,179834.5620549087,6.376012662163703,best_certified_dual,,,179841.03184260096,-17.343346560837062,417
dwp,120,140.505357503891,179834.5620549087,6.376012662163703,best_certified_dual,,,179841.02006199153,-13.57513421086901,418
dwp,121,142.34462237358093,179840.93804621298,2.1357875084504485e-05,best_certified_dual,,,179840.93804621298,-7.275957614183426e-12,418
dwp_incremental,1,0.07599973678588867,-226558.4935595712,406399.431627142,best_certified_dual,,,182577.73840115298,-119302.48563268429,16
dwp_incremental,2,0.15636181831359863,-88254.44276323423,268095.38083080505,best_certified_dual,,,182577.73840115298,-115686.28727985267,22
dwp_incremental,3,0.2398226261138916,43869.38864442243,135971.54942314842,best_certified_dual,,,182577.73840115298,-57892.47918493242,28
dwp_incremental,4,0.31592559814453125,43869.38864442243,135971.54942314842,best_certified_dual,,,182577.7384011529,-94506.03126635897,34
dwp_incremental,5,0.41005754470825195,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.73840115298,-40293.369388682164,40
dwp_incremental,6,0.4936690330505371,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.73840115295,-88013.01129288717,46
dwp_incremental,7,0.5999095439910889,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.7384011529,-45588.12143603611,52
dwp_incremental,8,0.6793932914733887,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.73840115307,-43954.68979016299,58
dwp_incremental,9,0.7860321998596191,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.7384011531,-97739.19315113305,64
dwp_incremental,10,0.8650262355804443,78777.70385234333,101063.23421522752,best_certified_dual,,,182577.73840115455,-77689.82306021215,70
